"","Player","PS","GP","Min","FGM","FGA","X3M","X3A","FTM","FTA","OR","TR","AS","ST","TO","BK","PF","DQ","PTS","TC","EJ","FF","Sta","X...","OE","PER","AdjPER","Delta"
"247","x.henry (lal)","SG",43,907,144,345,28,81,116,177,25,114,51,44,57,7,79,0,432,1,0,0,5,-38,NA,12.36,13.8713654475347,1.51136544753473
"248","k.martin (nyk)","PF",32,634,63,122,0,1,11,19,36,134,50,25,26,27,85,0,137,4,0,0,15,31,NA,12.25,12.4184303847256,0.168430384725553
"249","c.butler (okc)","SF",56,1416,213,540,98,249,63,75,21,229,82,47,61,17,120,1,587,0,0,0,13,-152,NA,12.24,12.965320320178,0.725320320177968
"250","a.randolph (den)","PF",43,527,68,175,18,61,52,69,19,121,32,26,39,19,64,0,206,1,0,0,5,-114,NA,12.23,13.7229764203605,1.49297642036054
"251","c.douglas-roberts (cha)","SF",49,1017,111,252,51,132,66,82,16,119,51,29,36,16,61,0,339,0,0,0,8,-10,NA,12.19,12.4616258772212,0.27162587722124
"252","r.sacre (lal)","C",65,1093,143,300,0,0,64,94,82,254,51,24,44,47,134,2,350,1,0,0,13,-153,NA,12.17,13.5419206715242,1.37192067152425
"253","t.ross (tor)","SG",81,2156,318,751,161,408,82,98,43,253,79,64,88,27,183,4,879,1,0,0,62,132,NA,12.09,12.4627333600519,0.372733360051948
"254","m.kidd-gilchrist (cha)","SF",62,1501,167,353,1,9,113,184,109,324,52,43,60,39,145,1,448,0,0,0,62,9,NA,12.07,12.3924993738068,0.322499373806796
"255","m.barnes (lac)","SF",63,1738,231,527,97,283,66,90,60,292,125,56,85,28,185,1,625,4,0,0,40,353,NA,12.05,13.1669485657043,1.11694856570426
"256","j.bayless (mem)","PG",72,1686,248,617,76,213,94,118,22,145,194,60,82,9,161,1,666,4,0,0,19,-97,NA,12.04,12.5262583873559,0.486258387355878
"257","j.bayless (bos)","PG",72,1686,248,617,76,213,94,118,22,145,194,60,82,9,161,1,666,4,0,0,19,-97,NA,12.04,12.5262583873559,0.486258387355878
"258","m.thornton (sac)","SG",72,1742,252,639,109,316,90,112,57,198,77,58,67,11,110,0,703,0,0,0,27,-32,NA,12,12.2641633498588,0.264163349858787
"259","m.thornton (brk)","SG",72,1742,252,639,109,316,90,112,57,198,77,58,67,11,110,0,703,0,0,0,27,-32,NA,12,12.2641633498588,0.264163349858787
"260","d.wright (por)","SF",68,981,111,296,69,202,52,69,29,191,64,23,39,16,62,0,343,0,0,0,13,54,NA,11.98,12.8398730848073,0.859873084807342
"261","j.crowder (dal)","SF",78,1258,130,296,50,151,46,61,46,194,60,59,41,21,100,0,356,2,0,0,8,243,NA,11.89,12.4696655651733,0.57966556517329
"262","r.jefferson (uta)","SF",82,2211,294,654,123,301,120,162,18,219,130,57,94,14,169,0,831,2,0,0,78,-413,NA,11.88,11.9583762739864,0.0783762739864269
"263","m.harkless (orl)","SF",80,1955,224,483,59,154,85,143,69,264,80,97,86,50,140,0,592,1,0,0,41,-308,NA,11.87,12.1980764257228,0.32807642572276
"264","m.williams (por)","PG",74,1835,280,672,83,225,78,89,42,153,321,55,149,10,197,1,721,4,0,0,0,73,NA,11.87,12.7337203808436,0.863720380843599
"265","k.singler (det)","SG",82,2335,269,602,94,246,152,184,116,303,75,61,79,38,211,2,784,0,0,0,36,-226,NA,11.86,12.3110091374184,0.451009137418415
"266","n.collison (okc)","PF",81,1357,134,241,4,17,66,93,116,293,104,30,71,28,187,0,338,2,0,0,0,333,NA,11.84,12.4866250041754,0.646625004175384
"267","p.antic (atl)","PF",50,928,123,294,56,171,50,66,57,209,59,19,55,12,126,0,352,2,0,0,26,131,NA,11.74,12.9586056367306,1.21860563673061
