Player,PS,GP,Min,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,+/-,OE,PER
g.antetokounmpo (mil),SG,77,1899,173,418,41,118,138,202,78,339,149,60,122,61,173,2,525,2,0,0,23,-177,,10.82
k.hinrich (chi),SG,73,2120,243,619,85,242,95,125,31,192,285,80,120,26,203,2,666,3,0,0,61,145,,10.8
c.johnson (bos),SF,40,790,85,214,43,127,37,43,31,97,32,27,22,4,63,0,250,0,0,0,0,12,,10.8
d.motiejunas (hou),PF,62,952,131,296,21,84,58,96,60,225,34,20,49,21,132,4,341,0,0,0,3,53,,10.76
r.lewis (mia),PF,60,975,98,236,46,134,26,33,24,110,57,53,35,8,90,0,268,1,0,0,6,53,,10.74
m.dellavedova (cle),SG,72,1276,122,296,57,154,38,48,30,124,186,34,60,5,121,0,339,1,0,0,4,72,,10.69
u.haslem (mia),PF,46,653,74,146,0,0,25,44,42,175,14,11,24,15,79,1,173,1,0,0,18,-67,,10.57
t.sefolosha (okc),SG,61,1589,141,340,48,152,53,69,50,219,95,79,55,17,90,0,383,0,0,0,61,120,,10.42
t.outlaw (sac),SF,63,1068,130,326,41,117,42,52,36,168,48,20,26,19,94,0,343,0,0,0,4,-101,,10.42
e.fournier (den),SG,76,1502,228,544,89,237,93,123,34,202,114,34,100,7,179,1,638,1,0,0,4,12,,10.36
a.goodwin (pho),SG,52,533,76,167,5,36,37,55,25,87,20,20,44,11,45,0,194,0,0,0,0,-88,,10.34
a.shved (min),PG,63,667,76,237,30,102,68,90,21,81,68,26,48,16,36,0,250,0,0,0,0,-35,,10.27
i.mahinmi (ind),C,77,1253,91,189,0,1,90,145,107,257,25,41,58,72,207,1,272,1,0,0,1,8,,10.18
n.mohammed (chi),C,80,562,54,126,0,0,16,30,66,175,20,14,37,30,77,0,124,1,0,0,1,-15,,10.18
q.acy (sac),SF,63,852,66,141,4,15,35,53,71,215,28,23,30,26,122,1,171,5,0,0,0,-134,,10.14
