Player,PS,GP,Min,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,+/-,OE,PER
j.sullinger (bos),PF,74,2041,384,899,56,208,158,203,241,601,118,35,119,49,251,3,982,1,0,0,44,-14,,16.42
k.martin (min),SG,68,2174,440,1022,115,297,303,340,34,203,123,66,106,6,123,2,1298,3,0,0,68,176,,16.37
j.hickson (den),PF,69,1859,332,654,0,8,150,290,206,632,95,47,127,51,177,0,814,1,0,0,52,-189,,16.27
j.evans (uta),SF,66,1208,175,332,0,2,51,75,120,309,44,42,40,46,139,2,401,0,0,0,4,-177,,16.27
g.hayward (uta),SF,77,2798,426,1032,85,280,311,381,62,392,400,110,212,40,155,0,1248,0,0,0,77,-395,,16.22
d.augustin (chi),PG,71,1942,298,718,133,332,201,227,15,130,313,53,125,3,147,0,930,1,0,0,9,54,,16.22
d.collison (lac),PG,80,2071,324,694,71,189,192,224,47,188,297,93,132,15,150,1,911,0,0,0,35,214,,16.21
j.valanciunas (tor),C,81,2283,359,676,0,1,198,260,225,712,58,24,136,71,249,1,916,6,0,0,81,91,,16.17
h.sims (phi),C,46,877,130,274,0,1,90,121,104,237,52,28,41,20,116,1,350,0,0,0,25,-138,,16.14
n.young (lal),SG,64,1818,387,889,135,350,235,285,29,166,95,47,95,12,156,2,1144,8,0,0,9,-84,,16.11
a.afflalo (orl),SG,73,2550,464,1011,128,300,274,336,32,262,248,35,146,3,136,0,1330,4,0,0,73,-365,,16.09
t.gibson (chi),PF,82,2353,429,896,0,7,211,281,200,559,91,41,150,110,207,2,1069,8,0,0,8,138,,16.09
r.sessions (cha),PG,83,2215,330,769,35,124,326,404,38,203,340,49,148,9,90,0,1021,2,0,0,19,-171,,16.04
r.sessions (mil),PG,83,2215,330,769,35,124,326,404,38,203,340,49,148,9,90,0,1021,2,0,0,19,-171,,16.04
c.miles (cle),SG,51,987,178,409,83,211,64,75,18,103,52,46,44,15,103,0,503,0,0,0,34,45,,16.03
e.davis (mem),PF,63,956,155,290,0,0,47,89,92,260,27,17,40,43,114,0,357,2,0,0,4,52,,15.99
v.carter (dal),SG,81,1975,330,811,146,371,161,196,67,284,212,61,108,35,209,1,967,1,0,0,0,175,,15.97
c.parsons (hou),SF,74,2785,466,987,130,351,164,221,69,409,298,88,144,29,168,1,1226,0,0,0,74,325,,15.9
t.ariza (was),SF,77,2723,389,853,180,442,149,193,99,475,192,126,132,20,179,2,1107,4,0,0,77,195,,15.87
n.batum (por),SF,82,2958,381,819,145,402,163,203,116,611,420,75,209,57,156,1,1070,1,0,0,82,329,,15.86
a.burks (uta),PG,78,2192,380,831,50,143,279,373,59,257,212,69,149,14,190,2,1089,0,0,0,12,-286,,15.82
s.hawes (phi),C,80,2468,403,882,128,307,119,152,131,660,240,44,173,94,237,3,1053,11,0,0,78,-482,,15.77
s.hawes (cle),C,80,2468,403,882,128,307,119,152,131,660,240,44,173,94,237,3,1053,11,0,0,78,-482,,15.77
w.matthews (por),SG,82,2783,445,1010,201,511,252,301,51,289,199,76,109,14,176,0,1343,7,0,0,82,303,,15.7
e.kanter (uta),C,80,2138,419,853,0,1,149,204,222,598,75,28,144,42,230,1,987,1,0,0,37,-481,,15.7
b.jennings (det),PG,80,2729,423,1135,154,457,241,321,59,244,609,101,215,8,157,0,1241,12,0,0,79,-186,,15.67
t.allen (mem),SG,55,1276,204,413,11,47,76,121,79,208,94,90,90,19,121,0,495,2,0,0,28,92,,15.64
n.robinson (den),PG,44,870,164,383,58,154,71,85,21,81,112,36,58,4,92,0,457,7,0,0,1,83,,15.64
m.carter-williams (phi),PG,70,2415,427,1054,55,208,258,367,101,437,441,129,247,43,213,2,1167,3,0,0,70,-448,,15.59
j.johnson (brk),SG,79,2574,462,1018,162,404,159,195,48,270,216,47,120,10,129,0,1245,2,0,0,79,57,,15.54
a.johnson (tor),PF,77,2214,344,612,20,66,91,143,172,504,115,56,123,88,271,5,799,1,0,0,72,198,,15.44
r.jackson (okc),PG,80,2281,402,914,83,244,158,177,43,313,331,85,169,9,142,0,1045,1,0,0,36,350,,15.43
t.zeller (cle),PF,70,1050,156,290,0,1,87,121,102,281,35,18,60,38,137,1,399,1,0,0,9,-5,,15.43
r.rubio (min),PG,82,2636,255,670,44,133,227,283,61,342,702,190,222,11,218,2,781,2,0,0,82,381,,15.35
m.scott (atl),SF,80,1484,301,628,62,200,103,132,62,284,75,30,79,7,121,0,767,0,0,0,6,-192,,15.34
r.rondo (bos),PG,30,998,141,350,26,90,42,67,22,164,294,40,100,2,65,0,350,1,0,0,30,-172,,15.34
j.o'neal (gsw),C,44,882,125,248,0,0,99,132,85,242,25,14,52,41,102,0,349,9,0,0,13,24,,15.34
k.olynyk (bos),PF,70,1396,234,501,40,113,99,122,140,365,109,35,106,27,227,4,607,0,0,0,9,-5,,15.27
j.calderon (dal),PG,81,2472,341,748,191,425,52,63,29,192,378,69,103,11,136,0,925,3,0,0,81,-4,,15.25
j.withey (nop),C,58,687,69,129,0,1,52,73,49,150,26,15,20,50,73,0,190,0,0,0,4,29,,15.25
a.bynum (ind),C,26,517,94,225,0,0,37,49,53,145,29,6,34,29,31,0,225,0,0,0,19,-135,,15.25
l.deng (chi),SF,63,2213,371,860,57,189,212,268,99,361,183,62,114,9,111,0,1011,1,0,0,63,8,,15.22
l.deng (cle),SF,63,2213,371,860,57,189,212,268,99,361,183,62,114,9,111,0,1011,1,0,0,63,8,,15.22
m.speights (gsw),PF,79,985,195,442,8,31,110,134,101,290,32,11,66,33,148,1,508,2,0,0,3,-122,,15.22
m.belinelli (sas),SG,80,2015,337,695,126,293,111,131,18,226,179,50,95,7,130,0,911,0,0,0,25,261,,15.09
j.farmar (lal),PG,41,912,151,364,70,160,44,59,20,104,199,38,95,8,65,0,416,1,0,0,5,-90,,15.05
t.booker (was),PF,72,1553,222,403,0,2,47,76,149,379,64,41,58,45,131,0,491,2,0,0,45,-55,,15.02
b.bass (bos),PF,82,2262,352,725,2,6,205,239,161,471,87,36,102,71,190,0,911,3,0,0,73,-402,,15.01
t.thompson (cle),PF,82,2591,363,761,0,1,235,339,269,754,72,42,108,35,188,0,961,0,0,0,82,-228,,14.96
e.gordon (nop),SG,64,2057,356,817,101,258,175,223,30,164,207,75,134,12,114,2,988,1,0,0,64,-269,,14.92
j.meeks (lal),SG,77,2557,413,892,162,404,221,258,30,194,138,111,111,4,119,0,1209,0,0,0,70,-509,,14.75
l.stephenson (ind),SG,78,2747,427,870,86,244,140,197,95,558,359,54,210,7,195,1,1080,14,0,0,78,287,,14.72
c.joseph (sas),PG,68,941,126,265,12,38,79,96,32,107,114,35,43,14,84,0,343,0,0,0,19,-3,,14.72
p.patterson (sac),PF,65,1536,225,489,55,151,50,71,117,342,78,55,65,37,159,2,555,2,0,0,13,168,,14.67
p.patterson (tor),PF,65,1536,225,489,55,151,50,71,117,342,78,55,65,37,159,2,555,2,0,0,13,168,,14.67
d.harris (dal),PG,40,817,96,254,31,101,92,115,8,85,178,28,59,2,72,1,315,0,0,0,0,156,,14.66
a.ajinca (nop),C,56,952,136,250,0,1,56,67,94,277,40,23,63,46,187,3,328,0,0,0,30,-99,,14.62
m.plumlee (pho),PF,80,1963,286,553,0,0,74,132,198,626,43,50,111,90,185,2,646,0,0,0,79,47,,14.6
a.bargnani (nyk),PF,42,1253,222,502,30,108,84,102,70,223,45,14,58,51,100,1,558,3,0,0,39,-124,,14.53
s.livingston (brk),PG,76,1976,235,487,1,6,158,191,67,246,245,93,105,32,172,1,629,1,0,0,54,61,,14.52
c.boozer (chi),PF,76,2143,447,980,0,2,148,193,137,632,119,54,154,22,216,0,1042,7,0,0,76,-33,,14.48
w.bynum (det),PG,56,1054,184,430,20,62,97,121,24,99,216,39,103,7,121,0,485,2,0,0,3,-112,,14.44
j.crawford (bos),SG,81,1858,327,787,90,285,146,169,28,183,281,47,134,5,120,0,890,5,0,0,35,-184,,14.4
m.teletovic (brk),PF,72,1399,221,529,136,349,44,62,60,266,57,29,54,23,143,0,622,2,0,0,7,-95,,14.38
k.thompson (gsw),SG,81,2867,559,1259,223,535,147,185,38,249,181,75,135,37,234,2,1488,2,0,0,81,532,,14.32
b.beal (was),SG,73,2529,481,1149,138,343,149,189,54,273,245,71,128,18,153,0,1249,0,0,0,73,110,,14.32
j.lin (hou),PG,71,2054,295,663,82,230,218,265,33,186,294,67,176,27,166,0,890,0,0,0,33,174,,14.31
l.williams (atl),SG,60,1445,197,493,79,231,152,179,10,124,210,45,92,4,65,0,625,0,0,0,7,-167,,14.24
g.vasquez (sac),PG,79,1778,277,658,109,289,95,108,20,173,323,31,128,5,143,2,758,3,0,0,23,168,,14.2
g.vasquez (tor),PG,79,1778,277,658,109,289,95,108,20,173,323,31,128,5,143,2,758,3,0,0,23,168,,14.2
t.hansbrough (tor),PF,64,981,93,196,0,2,126,185,120,287,17,28,47,19,132,0,312,5,0,0,4,-5,,14.2
t.robinson (por),PF,70,877,141,294,0,1,57,101,105,307,34,23,57,20,131,1,339,3,0,0,0,-87,,14.15
b.diaw (sas),PF,79,1974,302,580,45,112,68,92,74,325,222,44,121,32,140,0,717,0,0,0,24,317,,14.12
j.smith (det),SF,77,2733,517,1233,70,265,160,301,102,520,252,104,199,110,197,1,1264,10,0,0,76,-195,,14.1
d.waiters (cle),SG,70,2073,430,992,92,249,161,235,31,194,211,63,154,17,153,0,1113,2,0,0,24,-54,,14.1
m.chalmers (mia),PG,73,2182,254,560,87,226,121,163,41,214,357,119,162,16,210,0,716,4,0,0,73,306,,14.06
e.brand (atl),PF,73,1416,179,332,0,2,61,94,97,361,74,40,60,88,192,0,419,1,0,0,15,-60,,14.05
o.asik (hou),C,48,964,101,190,0,0,78,126,102,379,27,14,59,37,92,1,280,0,0,0,19,58,,14.05
r.stuckey (det),PG,73,1949,372,853,24,88,244,292,39,169,152,54,125,10,131,1,1012,4,0,0,5,-159,,14.04
m.williams (uta),PF,66,1673,231,526,84,234,57,73,82,334,78,54,53,31,151,3,603,0,0,0,50,-174,,14.04
z.pachulia (mil),C,53,1322,149,349,0,1,110,130,141,333,136,45,92,14,124,0,408,4,0,0,43,-181,,14.03
l.sanders (mil),C,23,586,76,162,0,1,26,55,60,165,19,18,26,40,74,3,178,5,0,0,20,-111,,14.02
j.smith (nyk),SG,74,2423,396,955,189,480,90,138,35,296,219,65,108,20,196,0,1071,2,0,0,37,-2,,14
d.carroll (atl),SF,73,2343,302,642,97,268,109,141,107,403,135,108,79,21,188,0,810,3,0,0,73,99,,13.96
a.morrow (nop),SG,76,1427,238,520,88,195,72,87,29,140,59,39,51,13,102,0,636,0,0,0,9,43,,13.96
d.green (sas),SG,69,1652,218,505,132,318,50,63,25,229,104,65,76,62,107,0,618,0,0,0,59,330,,13.9
a.miller (den),PG,58,988,106,231,11,21,60,77,28,130,197,34,61,9,75,1,283,1,0,0,2,47,,13.9
a.miller (was),PG,58,988,106,231,11,21,60,77,28,130,197,34,61,9,75,1,283,1,0,0,2,47,,13.9
j.nelson (orl),PG,68,2176,294,747,136,391,96,112,29,231,476,52,166,5,146,1,820,3,0,0,68,-273,,13.89
e.ilyasova (mil),SF,55,1479,237,579,37,131,107,130,107,342,72,46,61,8,135,1,618,0,0,0,47,-268,,13.85
r.turiaf (min),C,31,608,64,107,0,0,21,50,55,174,23,8,24,50,65,1,149,0,0,0,10,-23,,13.84
j.mcroberts (cha),PF,78,2365,247,566,105,291,62,85,85,373,334,58,83,46,189,0,661,3,0,0,78,37,,13.82
c.lee (mem),SG,79,1974,295,614,72,194,99,112,29,186,115,65,73,28,127,1,761,1,0,0,47,66,,13.8
s.marion (dal),SF,76,2407,341,708,58,162,51,65,132,497,124,90,95,37,125,0,791,1,0,0,76,-134,,13.78
a.iguodala (gsw),SG,63,2041,220,458,62,175,86,132,52,292,262,95,100,19,103,0,588,0,0,0,63,567,,13.71
v.oladipo (orl),SG,80,2486,392,936,74,226,248,318,43,329,327,129,256,37,210,0,1106,2,0,0,44,-266,,13.64
j.butler (chi),SG,67,2594,275,693,68,240,260,338,87,329,175,126,102,35,106,0,878,4,0,0,67,187,,13.57
k.korver (atl),SG,71,2413,289,609,185,392,87,94,22,282,208,69,102,24,147,0,850,0,0,0,71,211,,13.55
r.hibbert (ind),C,81,2406,331,754,2,5,207,269,202,538,91,29,148,181,269,4,871,4,0,0,81,363,,13.54
b.roberts (nop),PG,72,1671,244,580,64,178,125,133,17,136,235,43,95,7,132,2,677,1,0,0,42,-137,,13.49
j.lamb (okc),SG,78,1543,263,609,88,247,51,64,27,189,115,56,60,26,143,1,665,0,0,0,0,214,,13.44
g.hill (ind),PG,76,2436,272,616,95,260,142,176,53,283,264,75,92,24,158,0,781,4,0,0,76,322,,13.42
l.scola (ind),PF,82,1398,263,560,1,7,99,136,85,390,81,26,108,16,164,0,626,1,0,0,2,2,,13.42
j.jerebko (det),PF,64,743,98,208,31,74,43,59,51,175,39,21,43,6,85,0,270,0,0,0,0,-87,,13.42
k.garnett (brk),PF,54,1111,157,356,0,3,38,47,60,357,82,44,69,40,123,1,352,9,0,0,54,-29,,13.35
b.biyombo (cha),PF,77,1073,88,144,0,0,46,89,105,366,8,7,40,86,124,1,222,1,0,0,9,-46,,13.33
r.foye (den),PG,81,2487,361,875,189,498,157,185,36,232,288,67,145,39,205,4,1068,0,0,0,78,-125,,13.31
p.tucker (pho),SG,81,2489,265,615,74,191,156,201,162,530,140,110,102,23,204,2,760,12,0,0,81,125,,13.31
s.mack (atl),PG,73,1494,209,501,62,184,64,74,21,160,271,50,90,2,100,1,544,0,0,0,11,-47,,13.28
c.frye (pho),PF,82,2316,336,778,160,432,78,95,73,416,98,60,89,63,245,1,910,2,0,0,82,298,,13.26
a.aminu (nop),SF,80,2044,234,494,13,48,91,137,130,497,114,82,88,37,147,1,572,0,0,0,65,-252,,13.19
j.green (bos),PF,82,2805,482,1171,135,396,283,356,54,380,138,57,165,47,180,1,1382,0,0,0,82,-352,,13.17
g.davis (orl),PF,68,1668,271,593,4,11,95,137,108,351,77,58,76,29,159,3,641,3,0,0,44,-165,,13.14
g.davis (lac),PF,68,1668,271,593,4,11,95,137,108,351,77,58,76,29,159,3,641,3,0,0,44,-165,,13.14
g.henderson (cha),SG,77,2461,403,930,40,115,235,309,31,310,198,51,113,32,159,0,1081,2,0,0,77,-70,,13.13
c.zeller (cha),PF,82,1412,172,404,0,1,146,200,118,353,92,40,87,41,170,0,490,0,0,0,3,-83,,13.12
c.watson (ind),PG,64,1194,146,335,53,145,69,88,19,101,107,60,59,8,66,0,414,0,0,0,5,136,,13.08
p.prigioni (nyk),PG,66,1284,88,191,65,140,11,12,36,129,228,67,60,2,132,0,252,2,0,0,27,32,,13.02
t.wroten (phi),PG,72,1765,345,808,40,188,209,326,69,228,217,78,204,16,151,1,939,2,0,0,16,-436,,12.96
o.casspi (hou),SF,71,1284,173,410,61,176,83,122,55,260,89,44,73,14,100,0,490,0,0,0,2,148,,12.91
r.felton (nyk),PG,65,2020,240,608,62,195,88,122,54,197,368,77,129,27,157,1,630,1,0,0,65,24,,12.9
r.allen (mia),SG,73,1937,240,543,116,309,105,116,23,205,143,54,83,8,115,0,701,0,0,0,9,162,,12.83
a.bradley (bos),PG,60,1855,361,825,79,200,90,112,48,226,85,63,96,11,145,3,891,0,0,0,58,-127,,12.8
t.hardaway (nyk),SG,81,1879,294,687,130,358,106,128,19,121,66,43,47,7,144,1,824,0,0,0,0,-168,,12.79
n.wolters (mil),PG,58,1307,170,389,18,62,59,90,33,149,187,35,57,15,67,0,417,0,0,0,31,-25,,12.76
j.hamilton (den),C,8,74,9,20,3,9,5,5,4,7,0,5,4,0,8,0,26,0,0,0,0,-23,,12.75
j.hamilton (hou),SF,60,1019,147,375,70,197,40,51,32,194,52,44,47,20,67,0,404,1,0,0,12,-104,,12.75
d.green (gsw),SF,82,1796,187,459,55,165,82,123,86,409,152,98,91,72,231,3,511,7,0,0,12,145,,12.73
b.udrih (mem),PG,41,646,78,178,19,42,25,30,10,59,116,23,47,4,50,1,200,0,0,0,12,-106,,12.73
c.brewer (min),SF,81,2611,387,807,59,211,163,227,63,207,134,150,105,30,210,1,996,2,0,0,81,331,,12.71
j.vesely (was),SF,54,775,89,173,0,0,19,56,81,191,22,53,36,35,121,3,197,0,0,0,1,-109,,12.71
j.vesely (den),SF,54,775,89,173,0,0,19,56,81,191,22,53,36,35,121,3,197,0,0,0,1,-109,,12.71
d.cunningham (min),PF,81,1635,237,510,0,6,38,67,113,331,84,62,43,57,146,0,512,1,0,0,7,-44,,12.67
r.kelly (lal),SF,59,1314,157,371,48,142,110,135,42,219,95,32,47,45,147,0,472,0,0,0,25,-88,,12.67
k.marshall (lal),PG,55,1568,170,419,71,178,19,36,15,155,477,48,150,4,76,0,430,0,0,0,45,-172,,12.66
t.burke (uta),PG,70,2262,341,897,111,336,102,113,37,208,396,41,131,6,145,1,895,0,0,0,68,-256,,12.64
m.dunleavy (chi),SG,82,2586,333,774,123,324,140,164,46,345,186,64,108,46,163,0,929,1,0,0,61,173,,12.62
k.middleton (mil),SF,82,2461,376,854,120,290,118,137,60,310,169,83,123,19,243,4,990,4,0,0,64,-381,,12.55
g.neal (cha),PG,52,1113,193,471,68,180,94,105,10,90,83,18,64,0,65,0,548,1,0,0,3,-171,,12.54
l.allen (phi),PF,65,1068,134,299,2,13,33,50,119,311,71,24,45,33,126,1,303,0,0,0,2,-209,,12.52
l.allen (ind),PF,65,1068,134,299,2,13,33,50,119,311,71,24,45,33,126,1,303,0,0,0,2,-209,,12.52
k.seraphin (was),PF,53,578,111,220,0,0,27,31,53,128,17,3,41,26,103,0,249,0,0,0,1,-31,,12.52
a.brooks (den),PG,72,1558,233,581,96,248,83,95,43,140,233,52,117,13,146,0,645,6,0,0,12,-93,,12.51
m.miller (mem),SF,82,1709,213,443,107,233,46,56,30,207,129,26,77,5,95,0,579,0,0,0,4,-51,,12.5
w.chandler (den),SG,62,1925,307,738,122,351,110,152,58,294,114,46,79,31,193,4,846,0,0,0,55,-173,,12.48
a.kirilenko (brk),SF,45,856,82,160,1,5,61,119,55,146,72,40,54,18,65,0,226,0,0,0,4,-50,,12.48
