Year,Team,G,W,MP,FG,FGA,FG.,TwoP,TwoPA,TwoPct,ThreeP,ThreePA,ThreePct,FT,FTA,FTPct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS.G,oppG,oppMP,oppFG,oppFGA,oppFG.,oppTwoP,oppTwoPA,oppTwoPct,oppThreeP,oppThreePA,oppThreePct,oppFT,oppFTA,oppFTPct,oppORB,oppDRB,oppTRB,oppAST,oppSTL,oppBLK,oppTOV,oppPF,oppPTS,oppPTS.G,Team OE,Opp OE,Team DE,Opp DE,,,,,,,,,,,,,
2015,San Jose State,30,0,6025,553,1559,0.355,357,891,0.401,196,668,0.293,310,475,0.653,272,667,939,294,145,78,426,548,1612,53.7,30,6025,725,1574,0.461,520,1035,0.502,205,539,0.38,431,656,0.657,293,819,1112,443,221,85,344,484,2086,69.5,0.42202292,0.564796905,1.105224118,0.847083552,,,,,,,,,,,,,
2015,Santa Clara,32,12,6425,711,1675,0.424,489,1039,0.471,222,636,0.349,383,520,0.737,296,660,956,379,180,59,339,599,2027,63.3,32,6425,728,1622,0.449,518,1065,0.486,210,557,0.377,470,672,0.699,339,745,1084,433,166,113,371,552,2136,66.8,0.519790176,0.55630091,1.110879967,1.052440291,,,,,,,,,,,,,
2015,Savannah State,29,7,5824,607,1485,0.409,511,1112,0.46,96,373,0.257,315,548,0.575,297,573,870,264,257,70,480,569,1625,56,29,5824,654,1393,0.469,506,991,0.511,148,402,0.368,490,702,0.698,293,717,1010,349,274,155,486,547,1946,67.1,0.450828157,0.518346253,1.042425541,0.86106401,,,,,,,,,,,,,
2015,Seattle,28,12,5625,624,1410,0.443,425,900,0.472,199,510,0.39,315,488,0.645,276,678,954,389,149,43,366,463,1762,62.9,28,5625,604,1502,0.402,409,895,0.457,195,607,0.321,331,453,0.731,262,582,844,382,196,77,301,470,1734,61.9,0.536262573,0.51274051,1.006851701,1.03940538,,,,,,,,,,,,,
2015,Seton Hall,30,16,6050,715,1695,0.422,507,1107,0.458,208,588,0.354,425,650,0.654,384,711,1095,370,183,121,375,574,2063,68.8,30,6050,723,1698,0.426,569,1163,0.489,154,535,0.288,429,647,0.663,355,713,1068,388,203,112,360,575,2029,67.6,0.527723735,0.531324725,1.034254256,1.06012333,,,,,,,,,,,,,
2015,Siena,31,11,6223,748,1736,0.431,596,1278,0.466,152,458,0.332,516,727,0.71,395,628,1023,411,233,111,389,649,2164,69.8,31,6223,734,1625,0.452,533,1069,0.499,201,556,0.362,620,828,0.749,371,694,1065,373,200,133,441,628,2289,73.8,0.541335824,0.535299807,1.129700918,1.070863025,,,,,,,,,,,,,
2015,South Alabama,31,9,6278,719,1699,0.423,516,1102,0.468,203,597,0.34,518,734,0.706,339,753,1092,332,147,110,445,565,2159,69.6,31,6278,826,1850,0.446,643,1316,0.489,183,534,0.343,471,668,0.705,365,758,1123,398,202,99,345,609,2306,74.4,0.49181095,0.549371634,1.09956132,1.028781092,,,,,,,,,,,,,
2015,South Carolina,30,14,6000,677,1663,0.407,517,1121,0.461,160,542,0.295,447,605,0.739,375,715,1090,405,189,129,391,582,1961,65.4,30,6000,601,1547,0.388,421,981,0.429,180,566,0.318,478,672,0.711,315,675,990,308,179,123,412,567,1860,62,0.519193858,0.46567623,0.972396487,1.020822488,,,,,,,,,,,,,
2015,South Carolina State,31,8,6225,666,1750,0.381,497,1174,0.423,169,576,0.293,347,580,0.598,374,708,1082,347,198,97,393,545,1848,59.6,31,6225,743,1680,0.442,536,1059,0.506,207,621,0.333,388,586,0.662,344,833,1177,402,187,125,425,519,2081,67.1,0.478733459,0.529357374,1.042898667,0.923538231,,,,,,,,,,,,,
2015,South Carolina Upstate,33,19,6600,871,1957,0.445,601,1168,0.515,270,789,0.342,388,590,0.658,443,811,1254,503,265,104,345,540,2400,72.7,33,6600,716,1813,0.395,498,1089,0.457,218,724,0.301,353,534,0.661,376,746,1122,383,160,87,459,554,2003,60.7,0.581710415,0.482229048,0.949469094,1.145584726,,,,,,,,,,,,,
2015,South Dakota,31,14,6350,765,1821,0.42,565,1270,0.445,200,551,0.363,432,586,0.737,370,727,1097,361,175,79,352,564,2162,69.7,31,6350,767,1714,0.447,572,1126,0.508,195,588,0.332,432,582,0.742,279,765,1044,406,167,107,368,539,2161,69.7,0.520332717,0.531009507,1.061499165,1.061156376,,,,,,,,,,,,,
2015,South Dakota State,31,20,6253,771,1680,0.459,529,1043,0.507,242,637,0.38,489,692,0.707,299,810,1109,376,170,120,361,603,2275,73.4,31,6253,688,1694,0.406,510,1163,0.439,178,531,0.335,433,652,0.664,317,713,1030,339,199,79,387,657,1987,64.1,0.541548631,0.488349976,0.98133149,1.126907074,,,,,,,,,,,,,
2015,South Florida,31,8,6276,730,1672,0.437,597,1238,0.482,133,434,0.306,334,543,0.615,331,729,1060,357,181,151,424,593,1927,62.2,31,6276,712,1698,0.419,507,1127,0.45,205,571,0.359,491,723,0.679,386,724,1110,397,209,126,379,538,2120,68.4,0.512252592,0.531130268,1.070598929,0.972152154,,,,,,,,,,,,,
2015,Southeast Missouri State,30,11,6025,742,1686,0.44,553,1133,0.488,189,553,0.342,414,621,0.667,346,704,1050,378,218,132,394,598,2087,69.6,30,6025,703,1611,0.436,499,1099,0.454,204,512,0.398,454,660,0.688,315,721,1036,361,177,75,413,557,2064,68.8,0.53030303,0.514009662,1.046122656,1.052764326,,,,,,,,,,,,,
2015,Southeastern Louisiana,31,8,6250,785,1703,0.461,603,1127,0.535,182,576,0.316,374,564,0.663,296,728,1024,377,192,109,480,577,2126,68.6,31,6250,790,1781,0.444,559,1147,0.487,231,634,0.364,451,622,0.725,350,735,1085,403,209,117,425,531,2262,73,0.513250883,0.528109783,1.074686431,1.006342895,,,,,,,,,,,,,
2015,Southern,32,13,6451,736,1746,0.422,600,1298,0.462,136,448,0.304,461,698,0.66,378,784,1162,332,219,133,420,640,2069,64.7,32,6451,682,1742,0.392,512,1185,0.432,170,557,0.305,504,756,0.667,392,765,1157,316,194,105,442,619,2038,63.7,0.503773585,0.473434535,0.973071047,1.000870743,,,,,,,,,,,,,
