Player,PS,GP,Min,Pts,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,+/-,OE,PER,PER,Var,,FGM_Weight,FGA_Weight,ThrPTM_Weight,FTM_Weight,Blk_Weight,OffReb_Weight,Ast_Weight,DefReb_Weight,Foul_Weight,FTA_Weight,Stl_Weight,TO_Weight,,,,,
j.henson (mil),PF,70,1858,597,344,639,0,1,91,177,171,497,113,41,114,116,185,0,779,4,0,0,23,-428,0.658,17.97,17.77515495,0.194845052,,,,,,,,,,,,,,,,,,
a.miller (den),PG,58,988,185,106,231,11,21,60,77,28,130,197,34,61,9,75,1,283,1,0,0,2,47,0.657,13.9,14.63585905,0.735859049,,,,,,,,,,,,,,,,,,
a.miller (was),PG,58,988,185,106,231,11,21,60,77,28,130,197,34,61,9,75,1,283,1,0,0,2,47,0.657,13.9,14.63585905,0.735859049,,,,,,,,,,,,,,,,,,
m.gortat (was),C,81,2660,756,455,840,1,1,157,229,202,767,136,41,126,121,201,2,1068,3,0,0,80,292,0.657,17.66,17.79396022,0.133960222,,,,,,,,,,,,,,,,,,
k.koufos (mem),C,80,1351,394,227,459,0,0,60,93,160,418,39,32,68,71,182,1,514,3,0,0,22,37,0.655,16.54,16.23361167,0.306388332,,,,,,,,,,,,,,,,,,
z.pachulia (mil),C,53,1322,188,149,349,0,1,110,130,141,333,136,45,92,14,124,0,408,4,0,0,43,-181,0.654,14.03,14.4335852,0.403585197,,,,,,,,,,,,,,,,,,
c.paul (lac),PG,62,2168,751,406,870,78,212,295,345,38,268,663,154,145,4,157,1,1185,10,0,0,62,530,0.652,25.98,27.58888779,1.608887787,,,,,,,,,,,,,,,,,,
d.howard (hou),C,71,2396,603,473,801,2,7,349,638,232,866,130,60,229,128,240,0,1297,13,0,0,71,341,0.65,21.36,21.64800269,0.288002687,,,,,,,,,,,,,,,,,,
t.thompson (cle),PF,82,2591,491,363,761,0,1,235,339,269,754,72,42,108,35,188,0,961,0,0,0,82,-228,0.647,14.96,15.19991171,0.239911707,,,,,,,,,,,,,,,,,,
j.mcroberts (cha),PF,78,2365,747,247,566,105,291,62,85,85,373,334,58,83,46,189,0,661,3,0,0,78,37,0.647,13.82,14.08079258,0.26079258,,,,,,,,,,,,,,,,,,
j.valanciunas (tor),C,81,2283,520,359,676,0,1,198,260,225,712,58,24,136,71,249,1,916,6,0,0,81,91,0.647,16.17,16.22610505,0.056105049,,,,,,,,,,,,,,,,,,
m.plumlee (pho),PF,80,1963,498,286,553,0,0,74,132,198,626,43,50,111,90,185,2,646,0,0,0,79,47,0.646,14.6,14.83549269,0.235492689,,,,,,,,,,,,,,,,,,
l.sanders (mil),C,23,586,126,76,162,0,1,26,55,60,165,19,18,26,40,74,3,178,5,0,0,20,-111,0.646,14.02,14.08434751,0.064347507,,,,,,,,,,,,,,,,,,
k.humphries (bos),PF,69,1381,345,231,462,0,3,117,144,127,409,67,31,64,61,136,1,579,2,0,0,30,-178,0.639,18.28,18.52326645,0.243266448,,,,,,,,,,,,,,,,,,
j.hickson (den),PF,69,1859,514,332,654,0,8,150,290,206,632,95,47,127,51,177,0,814,1,0,0,52,-189,0.637,16.27,17.32405628,1.054056283,,,,,,,,,,,,,,,,,,
a.horford (atl),PF,29,960,430,238,420,4,11,58,85,66,244,75,27,64,44,56,0,538,1,0,0,29,73,0.635,22.08,22.9263579,0.846357899,,,,,,,,,,,,,,,,,,
s.ibaka (okc),PF,81,2667,961,524,978,23,60,156,199,224,709,84,39,122,219,233,0,1227,9,0,0,81,405,0.633,19.66,19.94477695,0.284776947,,,,,,,,,,,,,,,,,,
n.mohammed (chi),C,80,562,92,54,126,0,0,16,30,66,175,20,14,37,30,77,0,124,1,0,0,1,-15,0.632,10.18,10.56164146,0.381641457,,,,,,,,,,,,,,,,,,
n.vucevic (orl),C,57,1814,601,353,696,0,0,105,137,185,626,104,60,112,47,169,4,811,3,0,0,57,-177,0.629,18.85,19.28829022,0.438290224,,,,,,,,,,,,,,,,,,
a.iguodala (gsw),SG,63,2041,540,220,458,62,175,86,132,52,292,262,95,100,19,103,0,588,0,0,0,63,567,0.628,13.71,14.45024344,0.740243438,,,,,,,,,,,,,,,,,,
k.marshall (lal),PG,55,1568,534,170,419,71,178,19,36,15,155,477,48,150,4,76,0,430,0,0,0,45,-172,0.628,12.66,13.80618662,1.146186624,,,,,,,,,,,,,,,,,,
d.favors (uta),PF,73,2202,590,390,747,0,1,190,284,199,637,91,75,129,108,235,1,970,0,0,0,73,-339,0.626,19.01,18.73250672,0.277493281,,,,,,,,,,,,,,,,,,
j.o'neal (gsw),C,44,882,151,125,248,0,0,99,132,85,242,25,14,52,41,102,0,349,9,0,0,13,24,0.625,15.34,16.12315576,0.783155759,,,,,,,,,,,,,,,,,,
t.robinson (por),PF,70,877,225,141,294,0,1,57,101,105,307,34,23,57,20,131,1,339,3,0,0,0,-87,0.625,14.15,14.96301427,0.813014271,,,,,,,,,,,,,,,,,,
r.rubio (min),PG,82,2636,415,255,670,44,133,227,283,61,342,702,190,222,11,218,2,781,2,0,0,82,381,0.624,15.35,16.83697456,1.486974558,,,,,,,,,,,,,,,,,,
s.livingston (brk),PG,76,1976,315,235,487,1,6,158,191,67,246,245,93,105,32,172,1,629,1,0,0,54,61,0.623,14.52,14.71049026,0.190490258,,,,,,,,,,,,,,,,,,
t.mozgov (den),C,82,1774,386,285,545,4,24,196,260,171,528,62,27,122,100,213,3,770,5,0,0,30,23,0.622,16.77,17.78789527,1.017895267,,,,,,,,,,,,,,,,,,
r.sacre (lal),C,65,1093,222,143,300,0,0,64,94,82,254,51,24,44,47,134,2,350,1,0,0,13,-153,0.62,12.17,13.46271894,1.292718943,,,,,,,,,,,,,,,,,,
u.haslem (mia),PF,46,653,123,74,146,0,0,25,44,42,175,14,11,24,15,79,1,173,1,0,0,18,-67,0.62,10.57,10.90812771,0.33812771,,,,,,,,,,,,,,,,,,
b.lopez (brk),C,17,533,164,129,229,0,1,94,115,39,102,16,9,28,30,52,0,352,0,0,0,17,-23,0.62,25.5,24.87047821,0.62952179,,,,,,,,,,,,,,,,,,
a.davis (nop),PF,67,2360,702,522,1005,2,9,348,440,207,673,105,89,109,189,200,1,1394,3,0,0,66,-114,0.62,26.54,26.05961508,0.480384917,,,,,,,,,,,,,,,,,,
j.thompson (sac),PF,82,2011,418,251,496,0,0,84,145,153,527,52,32,95,56,251,5,586,9,0,0,61,-9,0.618,11.14,11.38862845,0.248628453,,,,,,,,,,,,,,,,,,
k.o'quinn (orl),PF,69,1186,315,186,371,0,3,57,83,100,364,78,39,78,88,165,1,429,1,0,0,19,-32,0.618,16.52,16.93703109,0.417031095,,,,,,,,,,,,,,,,,,
l.james (mia),SF,77,2903,1443,767,1353,116,306,439,585,81,533,488,121,270,26,126,1,2089,5,0,0,77,409,0.618,29.4,28.60402925,0.795970754,,,,,,,,,,,,,,,,,,
b.diaw (sas),PF,79,1974,671,302,580,45,112,68,92,74,325,222,44,121,32,140,0,717,0,0,0,24,317,0.617,14.12,14.75291279,0.632912787,,,,,,,,,,,,,,,,,,
c.joseph (sas),PG,68,941,209,126,265,12,38,79,96,32,107,114,35,43,14,84,0,343,0,0,0,19,-3,0.615,14.72,15.45454495,0.734544953,,,,,,,,,,,,,,,,,,
g.monroe (det),C,82,2693,767,504,1015,0,1,241,367,256,760,171,91,167,47,205,2,1249,8,0,0,82,-152,0.615,18.16,18.45513905,0.295139048,,,,,,,,,,,,,,,,,,
m.kidd-gilchrist (cha),SF,62,1501,224,167,353,1,9,113,184,109,324,52,43,60,39,145,1,448,0,0,0,62,9,0.615,12.07,12.34257085,0.272570847,,,,,,,,,,,,,,,,,,
a.aminu (nop),SF,80,2044,416,234,494,13,48,91,137,130,497,114,82,88,37,147,1,572,0,0,0,65,-252,0.615,13.19,13.43759227,0.247592274,,,,,,,,,,,,,,,,,,
d.cunningham (min),PF,81,1635,436,237,510,0,6,38,67,113,331,84,62,43,57,146,0,512,1,0,0,7,-44,0.613,12.67,13.80460375,1.134603751,,,,,,,,,,,,,,,,,,
a.stoudemire (nyk),PF,65,1466,472,311,558,0,0,150,203,112,320,34,23,91,37,159,1,772,9,0,0,22,-159,0.604,18.89,18.15371289,0.736287106,,,,,,,,,,,,,,,,,,
b.griffin (lac),PF,80,2864,990,718,1359,12,44,482,674,192,757,306,92,224,51,265,4,1930,19,0,0,80,570,0.603,23.98,25.22658406,1.246584056,,,,,,,,,,,,,,,,,,
i.smith (pho),PG,70,1011,219,119,281,1,24,22,39,31,129,179,49,65,13,66,0,261,0,0,0,1,-10,0.603,11.71,12.13537507,0.425375068,,,,,,,,,,,,,,,,,,
r.rondo (bos),PG,30,998,318,141,350,26,90,42,67,22,164,294,40,100,2,65,0,350,1,0,0,30,-172,0.602,15.34,15.79161829,0.451618294,,,,,,,,,,,,,,,,,,
d.lee (gsw),PF,69,2288,795,513,980,0,1,231,296,183,644,147,48,153,26,206,4,1257,1,0,0,67,467,0.602,19.21,20.22699877,1.016998768,,,,,,,,,,,,,,,,,,
m.dellavedova (cle),SG,72,1276,377,122,296,57,154,38,48,30,124,186,34,60,5,121,0,339,1,0,0,4,72,0.602,10.69,11.18185018,0.491850184,,,,,,,,,,,,,,,,,,
n.batum (por),SF,82,2958,1034,381,819,145,402,163,203,116,611,420,75,209,57,156,1,1070,1,0,0,82,329,0.601,15.86,16.4027257,0.542725697,,,,,,,,,,,,,,,,,,
k.leonard (sas),SF,66,1924,780,337,645,69,182,101,126,76,411,133,114,80,49,127,0,844,0,0,0,65,376,0.601,19.43,20.32678201,0.89678201,,,,,,,,,,,,,,,,,,
j.calderon (dal),PG,81,2472,1203,341,748,191,425,52,63,29,192,378,69,103,11,136,0,925,3,0,0,81,-4,0.599,15.25,15.53916502,0.289165024,,,,,,,,,,,,,,,,,,
d.wade (mia),SG,54,1776,668,415,760,9,32,189,258,59,241,253,79,161,29,106,0,1028,5,0,0,53,141,0.599,22.06,21.65319679,0.406803212,,,,,,,,,,,,,,,,,,
j.johnson (mem),PF,52,957,276,143,308,22,87,76,90,60,166,111,43,66,57,102,1,384,1,0,0,4,96,0.598,18.5,18.11811536,0.381884636,,,,,,,,,,,,,,,,,,
g.wallace (bos),SF,58,1418,242,116,230,19,64,47,101,36,212,143,73,97,14,79,0,298,4,0,0,16,-172,0.597,10.02,10.32499565,0.304995654,,,,,,,,,,,,,,,,,,
k.olynyk (bos),PF,70,1396,489,234,501,40,113,99,122,140,365,109,35,106,27,227,4,607,0,0,0,9,-5,0.595,15.27,15.98692501,0.716925011,,,,,,,,,,,,,,,,,,
n.wolters (mil),PG,58,1307,335,170,389,18,62,59,90,33,149,187,35,57,15,67,0,417,0,0,0,31,-25,0.595,12.76,12.94161394,0.181613938,,,,,,,,,,,,,,,,,,
g.dragic (pho),PG,76,2671,1154,552,1093,122,299,316,416,69,245,448,104,213,22,206,1,1542,7,0,0,75,301,0.593,21.43,21.46566964,0.035669636,,,,,,,,,,,,,,,,,,
t.lawson (den),PG,62,2221,586,347,805,72,202,324,406,41,216,543,100,201,10,113,1,1090,0,0,0,61,-46,0.59,19.02,20.29549671,1.275496706,,,,,,,,,,,,,,,,,,
j.holiday (nop),PG,34,1142,445,203,454,30,77,51,63,28,142,268,56,105,12,92,0,487,1,0,0,34,24,0.589,17.19,17.39879857,0.208798575,,,,,,,,,,,,,,,,,,
t.duncan (sas),PF,74,2155,657,444,906,0,5,231,316,158,722,220,43,159,139,134,2,1119,8,0,0,74,304,0.589,21.4,22.09423395,0.694233953,,,,,,,,,,,,,,,,,,
m.chalmers (mia),PG,73,2182,648,254,560,87,226,121,163,41,214,357,119,162,16,210,0,716,4,0,0,73,306,0.589,14.06,14.2214694,0.161469399,,,,,,,,,,,,,,,,,,
k.lowry (tor),PG,79,2861,1171,457,1080,190,500,313,385,88,369,585,121,194,15,267,5,1417,10,0,0,79,269,0.588,20.2,20.37289515,0.17289515,,,,,,,,,,,,,,,,,,
p.patterson (sac),PF,65,1536,565,225,489,55,151,50,71,117,342,78,55,65,37,159,2,555,2,0,0,13,168,0.588,14.67,14.93492823,0.264928231,,,,,,,,,,,,,,,,,,
p.patterson (tor),PF,65,1536,565,225,489,55,151,50,71,117,342,78,55,65,37,159,2,555,2,0,0,13,168,0.588,14.67,14.93492823,0.264928231,,,,,,,,,,,,,,,,,,
t.parker (sas),PG,68,2002,790,456,914,25,67,197,243,17,154,390,36,151,9,86,0,1134,1,0,0,68,274,0.588,19,19.64927778,0.649277778,,,,,,,,,,,,,,,,,,
s.blake (lal),PG,55,1496,470,133,353,79,210,33,43,13,159,307,53,102,8,85,0,378,0,0,0,28,-174,0.587,11.01,12.03946682,1.029466824,,,,,,,,,,,,,,,,,,
n.calathes (mem),SG,71,1174,297,142,311,19,61,44,72,23,137,209,65,101,8,117,0,347,1,0,0,7,19,0.587,12.36,12.47527509,0.115275095,,,,,,,,,,,,,,,,,,
b.udrih (mem),PG,41,646,188,78,178,19,42,25,30,10,59,116,23,47,4,50,1,200,0,0,0,12,-106,0.586,12.73,12.5605943,0.169405704,,,,,,,,,,,,,,,,,,
s.marion (dal),SF,76,2407,805,341,708,58,162,51,65,132,497,124,90,95,37,125,0,791,1,0,0,76,-134,0.585,13.78,14.25652275,0.476522745,,,,,,,,,,,,,,,,,,
l.stephenson (ind),SG,78,2747,972,427,870,86,244,140,197,95,558,359,54,210,7,195,1,1080,14,0,0,78,287,0.585,14.72,14.85631068,0.136310683,,,,,,,,,,,,,,,,,,
d.carroll (atl),SF,73,2343,786,302,642,97,268,109,141,107,403,135,108,79,21,188,0,810,3,0,0,73,99,0.583,13.96,15.00738494,1.047384944,,,,,,,,,,,,,,,,,,
g.hill (ind),PG,76,2436,687,272,616,95,260,142,176,53,283,264,75,92,24,158,0,781,4,0,0,76,322,0.583,13.42,13.56962829,0.149628292,,,,,,,,,,,,,,,,,,
b.bass (bos),PF,82,2262,505,352,725,2,6,205,239,161,471,87,36,102,71,190,0,911,3,0,0,73,-402,0.583,15.01,15.32306294,0.313062944,,,,,,,,,,,,,,,,,,
e.udoh (mil),PF,43,804,84,57,143,0,0,30,47,61,148,31,15,38,44,96,0,144,0,0,0,14,-169,0.583,7.62,7.869316901,0.249316901,,,,,,,,,,,,,,,,,,
p.tucker (pho),SG,81,2489,596,265,615,74,191,156,201,162,530,140,110,102,23,204,2,760,12,0,0,81,125,0.583,13.31,13.87944024,0.569440241,,,,,,,,,,,,,,,,,,
e.kanter (uta),C,80,2138,689,419,853,0,1,149,204,222,598,75,28,144,42,230,1,987,1,0,0,37,-481,0.581,15.7,15.61473874,0.085261257,,,,,,,,,,,,,,,,,,
d.west (ind),PF,80,2469,730,458,939,4,15,198,251,120,542,223,61,133,74,186,1,1118,7,0,0,80,410,0.58,17.55,17.62104289,0.071042895,,,,,,,,,,,,,,,,,,
m.gasol (mem),C,59,1976,493,336,711,2,11,185,241,84,424,216,59,111,76,150,1,859,0,0,0,59,16,0.579,18.27,17.84680215,0.423197849,,,,,,,,,,,,,,,,,,
r.felton (nyk),PG,65,2020,578,240,608,62,195,88,122,54,197,368,77,129,27,157,1,630,1,0,0,65,24,0.578,12.9,12.77963164,0.120368357,,,,,,,,,,,,,,,,,,
d.williams (brk),PG,65,2058,765,322,716,98,268,173,216,15,168,393,93,143,13,148,0,915,0,0,0,58,187,0.578,17.69,17.743073,0.053073002,,,,,,,,,,,,,,,,,,
l.mbahamoute (sac),SF,64,1002,140,87,193,4,17,46,67,56,146,36,31,40,14,68,2,224,0,0,0,7,-152,0.577,8.42,9.102522055,0.682522055,,,,,,,,,,,,,,,,,,
l.mbahamoute (min),SF,64,1002,140,87,193,4,17,46,67,56,146,36,31,40,14,68,2,224,0,0,0,7,-152,0.577,8.42,9.102522055,0.682522055,,,,,,,,,,,,,,,,,,
z.randolph (mem),PF,79,2709,876,560,1198,2,20,250,337,265,794,199,54,183,23,210,0,1372,4,0,0,79,169,0.577,18.37,18.01891541,0.351084592,,,,,,,,,,,,,,,,,,
d.collison (lac),PG,80,2071,669,324,694,71,189,192,224,47,188,297,93,132,15,150,1,911,0,0,0,35,214,0.577,16.21,17.28909368,1.079093683,,,,,,,,,,,,,,,,,,
t.allen (mem),SG,55,1276,365,204,413,11,47,76,121,79,208,94,90,90,19,121,0,495,2,0,0,28,92,0.575,15.64,15.57933025,0.060669746,,,,,,,,,,,,,,,,,,
s.curry (gsw),PG,78,2843,1779,652,1383,261,615,308,348,46,334,667,129,294,14,194,1,1873,0,0,0,78,574,0.574,24.13,25.25004077,1.120040774,,,,,,,,,,,,,,,,,,
j.jerebko (det),PF,64,743,246,98,208,31,74,43,59,51,175,39,21,43,6,85,0,270,0,0,0,0,-87,0.573,13.42,13.96006317,0.540063173,,,,,,,,,,,,,,,,,,
k.love (min),PF,77,2797,1350,650,1422,190,505,520,633,224,963,343,59,195,35,136,0,2010,3,0,0,77,355,0.572,26.97,28.66357653,1.693576527,,,,,,,,,,,,,,,,,,
m.conley (mem),PG,73,2447,1016,463,1030,105,291,225,276,41,213,439,110,150,13,141,1,1256,0,0,0,73,151,0.572,20.07,19.60964092,0.460359084,,,,,,,,,,,,,,,,,,
s.mack (atl),PG,73,1494,540,209,501,62,184,64,74,21,160,271,50,90,2,100,1,544,0,0,0,11,-47,0.571,13.28,14.26248789,0.982487888,,,,,,,,,,,,,,,,,,
