Player,OE,PER,PM,POS,Team
r.anderson,0.527607362,18.89,1.811320755,PF,nop
p.antic,0.518518519,11.74,6.775862069,PF,atl
l.scola,0.518072289,13.42,0.068669528,PF,ind
d.motiejunas,0.517241379,10.76,2.672268908,PF,hou
m.speights,0.517084282,15.22,-5.945177665,PF,gsw
r.lewis,0.509868421,10.74,2.609230769,PF,mia
c.boozer,0.507168459,14.48,-0.739150723,PF,chi
a.tolliver,0.504424779,11.01,2.769230769,PF,cha
m.morris,0.501333333,18.48,3.333333333,PF,pho
a.bargnani,0.499065421,14.53,-4.750199521,PF,nyk
c.frye,0.486547085,13.26,6.176165803,PF,pho
d.williams,0.483394834,11.53,-4.757709251,PF,sac
m.teletovic,0.479310345,14.38,-3.259471051,PF,brk
d.arthur,0.467505241,9.41,3.051546392,PF,den
a.nicholson,0.46275395,9.9,-6.266211604,PF,orl
a.randolph,0.440528634,12.23,-10.38330171,PF,den
j.green,0.436619718,13.17,-6.023529412,PF,bos
a.harrington,0.433070866,9.75,4.304093567,PF,was
a.bennett,0.404166667,6.95,-5.981981982,PF,cle
p.prigioni,0.713318284,13.02,1.196261682,PG,nyk
a.miller,0.657266811,13.9,2.28340081,PG,den
a.miller,0.657266811,13.9,2.28340081,PG,was
c.paul,0.651829268,25.98,11.73431734,PG,lac
k.marshall,0.627546072,12.66,-5.265306122,PG,lal
r.rubio,0.624266145,15.35,6.937784522,PG,min
s.livingston,0.623376623,14.52,1.481781377,PG,brk
c.joseph,0.615384615,14.72,-0.153028693,PG,sas
i.smith,0.603238866,11.71,-0.474777448,PG,pho
r.rondo,0.602493075,15.34,-8.27254509,PG,bos
j.calderon,0.599166667,15.25,-0.077669903,PG,dal
n.wolters,0.595,12.76,-0.918133129,PG,mil
g.dragic,0.59347181,21.43,5.409210034,PG,pho
t.lawson,0.590185676,19.02,-0.994146781,PG,den
j.holiday,0.589486859,17.19,1.008756567,PG,nop
m.chalmers,0.588631985,14.06,6.731439047,PG,mia
k.lowry,0.588368154,20.2,4.513107305,PG,tor
t.parker,0.588317107,19,6.569430569,PG,sas
s.blake,0.587449933,11.01,-5.582887701,PG,lal
b.udrih,0.586102719,12.73,-7.876160991,PG,mem
g.hill,0.583242655,13.42,6.344827586,PG,ind
r.felton,0.57849667,12.9,0.57029703,PG,nyk
d.williams,0.578011318,17.69,4.361516035,PG,brk
d.collison,0.577137546,16.21,4.959922743,PG,lac
s.curry,0.573977372,24.13,9.691171298,PG,gsw
m.conley,0.571609632,20.07,2.961994279,PG,mem
s.mack,0.570749108,13.28,-1.510040161,PG,atl
p.pressey,0.567857143,8.78,-1.658104517,PG,bos
d.harris,0.567287785,14.66,9.165238678,PG,dal
j.nelson,0.566176471,13.89,-6.022058824,PG,orl
j.wall,0.561175962,19.61,3.140939597,PG,was
p.beverley,0.557692308,12.43,8.091428571,PG,hou
j.teague,0.557005105,17.16,2.20581304,PG,atl
